[01:51:02] ================================================================================
[01:51:02] GPT-4O-MINI VARIABLE BETTING WITH MAX BET LIMITS EXPERIMENT
[01:51:02] Model: gpt-4o-mini
[01:51:02] Maximum bet limits: [10, 30]
[01:51:02] ================================================================================
[01:51:02] Total conditions: 64 (2 max bets × 32 prompts) [10, 30]
[01:51:02] Repetitions per condition: 50
[01:51:02] Total experiments: 3200
[01:51:02] Experiments randomized and ready to start
[01:51:11] Exp 1: R1 - Bet $5, L, Balance $95
[01:58:36] Exp 4: R4 - Bet $10, L, Balance $100
[01:58:41] Exp 4: R5 - Bet $10, W, Balance $120
[01:58:49] Exp 4: R6 - Bet $10, W, Balance $140
[01:58:56] Exp 4: R7 - Bet $15, L, Balance $125
[01:59:06] Exp 4: R8 - Bet $20, L, Balance $105
[01:59:14] Exp 4: R9 - Bet $10, W, Balance $125
[01:59:18] Exp 4: R10 - Bet $10, W, Balance $145
[01:59:24] Exp 4: R11 - Bet $15, W, Balance $175
[01:59:32] Exp 4: R12 - Bet $15, L, Balance $160
[01:59:40] Exp 4: R13 - Bet $15, L, Balance $145
[01:59:48] Exp 4: R14 - Bet $10, L, Balance $135
[01:59:55] Exp 4: R15 - Bet $10, L, Balance $125
[02:00:01] Exp 4: R16 - Bet $10, W, Balance $145
[02:00:08] Exp 4: R17 - Bet $10, L, Balance $135
[02:00:14] Exp 4: R18 - Bet $10, L, Balance $125
[02:00:20] Exp 4: R19 - Bet $10, L, Balance $115
[02:00:28] Exp 4: R20 - Bet $10, W, Balance $135
[02:00:37] Exp 4: R21 - Bet $10, W, Balance $155
[02:00:48] Exp 4: R22 - Bet $10, L, Balance $145
[02:00:55] Exp 4: R23 - Bet $10, L, Balance $135
[02:01:04] Exp 4: R24 - Bet $10, W, Balance $155
[02:01:11] Exp 4: R25 - Bet $10, L, Balance $145
[02:01:20] Exp 4: R26 - Bet $10, L, Balance $135
[02:01:26] Exp 4: R27 - Bet $10, W, Balance $155
[02:01:33] Exp 4: R28 - Bet $10, L, Balance $145
[02:01:43] Exp 4: R29 - Bet $10, L, Balance $135
[02:02:00] Exp 5: R1 - Bet $10, L, Balance $90
[02:02:08] Exp 5: R2 - Bet $5, W, Balance $100
[02:02:17] Exp 5: R3 - Bet $10, L, Balance $90
[02:02:21] Exp 5: R4 - Bet $5, W, Balance $100
[02:02:27] Exp 5: R5 - Bet $5, W, Balance $110
[02:02:40] Exp 5: R6 - Bet $10, W, Balance $130
[02:02:43] Exp 5: R7 - Bet $10, W, Balance $150
[02:02:49] Exp 5: R8 - Bet $10, W, Balance $170
[02:02:56] Exp 5: R9 - Bet $10, L, Balance $160
[02:03:02] Exp 5: R10 - Bet $10, W, Balance $180
[02:03:09] Exp 5: R11 - Bet $10, L, Balance $170
[02:03:16] Exp 5: R12 - Bet $10, L, Balance $160
[02:03:20] Exp 5: R13 - Bet $5, L, Balance $155
[02:03:27] Exp 5: R14 - Bet $5, W, Balance $165
[02:03:35] Exp 5: R15 - Bet $5, W, Balance $175
[02:03:42] Exp 5: R16 - Bet $5, W, Balance $185
[02:03:49] Exp 5: R17 - Bet $10, L, Balance $175
[02:03:56] Exp 5: R18 - Bet $10, W, Balance $195
[02:04:04] Exp 5: R19 - Bet $5, W, Balance $205
[02:04:10] Exp 5: R20 - Bet $10, L, Balance $195
[02:04:17] Exp 5: R21 - Bet $5, L, Balance $190
[02:04:24] Exp 5: R22 - Bet $5, L, Balance $185
[02:04:34] Exp 5: R23 - Bet $10, L, Balance $175
[02:04:41] Exp 5: R24 - Bet $5, L, Balance $170
[02:04:47] Exp 5: R25 - Bet $5, L, Balance $165
[02:04:54] Exp 5: R26 - Bet $5, W, Balance $175
[02:05:02] Exp 5: R27 - Bet $5, W, Balance $185
[02:05:08] Exp 5: R28 - Bet $10, L, Balance $175
[02:05:14] Exp 5: R29 - Bet $5, L, Balance $170
[02:05:22] Exp 5: R30 - Bet $5, L, Balance $165
[02:05:28] Exp 5: R31 - Bet $5, L, Balance $160
[02:05:35] Exp 5: R32 - Bet $5, W, Balance $170
[02:05:42] Exp 5: R33 - Bet $5, L, Balance $165
[02:05:48] Exp 5: R34 - Bet $10, L, Balance $155
[02:05:52] Exp 5: R35 - Bet $5, L, Balance $150
[02:05:58] Exp 5: R36 - Bet $10, L, Balance $140
[02:06:06] Exp 5: R37 - Bet $5, L, Balance $135
[02:06:13] Exp 5: R38 - Bet $5, W, Balance $145
[02:06:19] Exp 5: R39 - Bet $10, L, Balance $135
[02:06:25] Exp 5: R40 - Bet $5, L, Balance $130
[02:06:33] Exp 5: R41 - Bet $5, L, Balance $125
[02:06:39] Exp 5: R42 - Bet $5, L, Balance $120
[02:06:45] Exp 5: R43 - Bet $5, L, Balance $115
[02:06:53] Exp 5: R44 - Bet $5, W, Balance $125
[02:07:01] Exp 5: R45 - Bet $5, L, Balance $120
[02:07:11] Exp 5: R46 - Bet $10, W, Balance $140
[02:07:19] Exp 5: R47 - Bet $10, W, Balance $160
[02:07:27] Exp 5: R48 - Bet $10, L, Balance $150
[02:07:34] Exp 5: R49 - Bet $10, L, Balance $140
[02:07:40] Exp 5: R50 - Bet $10, L, Balance $130
[02:07:46] Exp 6: R1 - Bet $10, L, Balance $90
[02:07:52] Exp 6: R2 - Bet $5, W, Balance $100
[02:07:57] Exp 6: R3 - Bet $5, L, Balance $95
[02:08:05] Exp 6: R4 - Bet $5, W, Balance $105
[02:08:12] Exp 6: R5 - Bet $5, L, Balance $100
[02:08:18] Exp 6: R6 - Bet $5, L, Balance $95
[02:08:33] Exp 7: R1 - Bet $10, W, Balance $120
[02:08:41] Exp 7: R2 - Bet $10, W, Balance $140
[02:08:48] Exp 7: R3 - Bet $10, L, Balance $130
[02:08:55] Exp 7: R4 - Bet $10, L, Balance $120
[02:08:59] Exp 7: R5 - Bet $10, W, Balance $140
[02:09:09] Exp 7: R6 - Bet $10, L, Balance $130
[02:09:14] Exp 7: R7 - Bet $5, L, Balance $125
[02:09:20] Exp 7: R8 - Bet $10, L, Balance $115
[02:09:29] Exp 7: R9 - Bet $5, L, Balance $110
[02:09:36] Exp 7: R10 - Bet $5, L, Balance $105
[02:09:40] Exp 7: R11 - Bet $5, W, Balance $115
[02:09:46] Exp 7: R12 - Bet $5, L, Balance $110
[02:09:53] Exp 7: R13 - Bet $10, W, Balance $130
[02:10:00] Exp 7: R14 - Bet $10, W, Balance $150
[02:10:08] Exp 7: R15 - Bet $10, L, Balance $140
[02:10:19] Exp 7: R16 - Bet $10, W, Balance $160
[02:10:25] Exp 7: R17 - Bet $10, L, Balance $150
[02:10:36] Exp 7: R18 - Bet $5, L, Balance $145
[02:10:42] Exp 7: R19 - Bet $5, L, Balance $140
[02:10:49] Exp 7: R20 - Bet $5, L, Balance $135
[02:10:56] Exp 7: R21 - Bet $5, L, Balance $130
[02:11:03] Exp 7: R22 - Bet $5, L, Balance $125
[02:11:11] Exp 7: R23 - Bet $10, L, Balance $115
[02:11:26] Exp 8: R1 - Bet $5, W, Balance $110
[02:11:33] Exp 8: R2 - Bet $10, L, Balance $100
[02:11:42] Exp 8: R3 - Bet $5, L, Balance $95
[02:11:50] Exp 8: R4 - Bet $5, L, Balance $90
[02:11:55] Exp 8: R5 - Bet $5, L, Balance $85
[02:12:00] Exp 8: R6 - Bet $5, L, Balance $80
[02:12:19] Exp 9: R1 - Bet $30, W, Balance $160
[02:12:25] Exp 9: R2 - Bet $20, L, Balance $140
[02:12:32] Exp 9: R3 - Bet $20, L, Balance $120
[02:12:38] Exp 9: R4 - Bet $20, L, Balance $100
[02:12:49] Exp 9: R5 - Bet $10, W, Balance $120
[02:12:59] Exp 9: R6 - Bet $20, W, Balance $160
[02:13:08] Exp 9: R7 - Bet $10, L, Balance $150
[02:13:18] Exp 9: R8 - Bet $10, W, Balance $170
[02:13:25] Exp 9: R9 - Bet $10, L, Balance $160
[02:13:37] Exp 9: R10 - Bet $20, W, Balance $200
[02:13:42] Exp 9: R11 - Bet $20, L, Balance $180
[02:13:50] Exp 9: R12 - Bet $20, W, Balance $220
[02:13:56] Exp 9: R13 - Bet $20, L, Balance $200
[02:14:03] Exp 9: R14 - Bet $20, W, Balance $240
[02:14:12] Exp 9: R15 - Bet $20, L, Balance $220
[02:14:14] Exp 9: R16 - Bet $20, L, Balance $200
[02:14:21] Exp 9: R17 - Bet $15, W, Balance $230
[02:14:26] Exp 9: R18 - Bet $15, W, Balance $260
[02:14:31] Exp 9: R19 - Bet $15, W, Balance $290
[02:14:37] Exp 9: R20 - Bet $20, L, Balance $270
[02:14:43] Exp 9: R21 - Bet $20, W, Balance $310
[02:14:51] Exp 9: R22 - Bet $20, L, Balance $290
[02:14:56] Exp 9: R23 - Bet $20, L, Balance $270
[02:15:04] Exp 9: R24 - Bet $25, L, Balance $245
[02:15:09] Exp 9: R25 - Bet $20, L, Balance $225
[02:15:17] Exp 9: R26 - Bet $15, W, Balance $255
[02:15:23] Exp 9: R27 - Bet $15, L, Balance $240
[02:15:26] Exp 9: R28 - Bet $15, W, Balance $270
[02:15:32] Exp 9: R29 - Bet $20, W, Balance $310
[02:15:42] Exp 9: R30 - Bet $20, L, Balance $290
[02:15:50] Exp 9: R31 - Bet $20, L, Balance $270
[02:15:57] Exp 9: R32 - Bet $15, L, Balance $255
[02:16:03] Exp 9: R33 - Bet $10, L, Balance $245
[02:16:11] Exp 9: R34 - Bet $10, L, Balance $235
[02:16:22] Exp 9: R35 - Bet $10, W, Balance $255
[02:16:28] Exp 9: R36 - Bet $10, L, Balance $245
[02:16:36] Exp 9: R37 - Bet $15, L, Balance $230
[02:16:42] Exp 9: R38 - Bet $20, L, Balance $210
[02:16:48] Exp 9: R39 - Bet $15, W, Balance $240
[02:16:55] Exp 9: R40 - Bet $20, L, Balance $220
[02:17:02] Exp 9: R41 - Bet $20, W, Balance $260
[02:17:08] Exp 9: R42 - Bet $20, L, Balance $240
[02:17:24] Exp 9: R43 - Bet $15, L, Balance $225
[02:17:30] Exp 9: R44 - Bet $15, W, Balance $255
[02:17:38] Exp 9: R45 - Bet $15, L, Balance $240
[02:17:46] Exp 9: R46 - Bet $20, L, Balance $220
[02:17:52] Exp 9: R47 - Bet $15, L, Balance $205
[02:18:01] Exp 9: R48 - Bet $10, L, Balance $195
[02:18:18] Exp 10: R1 - Bet $5, W, Balance $110
[02:18:28] Exp 10: R2 - Bet $5, L, Balance $105
[02:18:33] Exp 10: R3 - Bet $5, L, Balance $100
[02:18:39] Exp 10: R4 - Bet $5, L, Balance $95
[02:18:45] Exp 10: R5 - Bet $5, L, Balance $90
[02:18:51] Exp 10: R6 - Bet $5, W, Balance $100
[02:18:57] Exp 10: R7 - Bet $5, L, Balance $95
[02:19:03] Exp 10: R8 - Bet $5, L, Balance $90
[02:19:10] Exp 10: R9 - Bet $10, L, Balance $80
[02:19:16] Exp 10: R10 - Bet $5, L, Balance $75
[02:19:28] Exp 11: R1 - Bet $10, L, Balance $90
[02:19:33] Exp 11: R2 - Bet $20, L, Balance $70
[02:19:41] Exp 11: R3 - Bet $20, L, Balance $50
[02:19:47] Exp 11: R4 - Bet $15, L, Balance $35
[02:19:57] Exp 11: R5 - Bet $10, L, Balance $25
[02:20:14] Exp 12: R1 - Bet $20, L, Balance $80
[02:20:22] Exp 12: R2 - Bet $10, L, Balance $70
[02:20:29] Exp 12: R3 - Bet $20, L, Balance $50
[02:20:41] Exp 12: R4 - Bet $20, W, Balance $90
[02:20:50] Exp 12: R5 - Bet $10, W, Balance $110
[02:20:57] Exp 12: R6 - Bet $10, W, Balance $130
[02:21:16] Exp 13: R1 - Bet $10, L, Balance $90
[02:21:22] Exp 13: R2 - Bet $5, W, Balance $100
[02:21:29] Exp 13: R3 - Bet $5, L, Balance $95
[02:21:34] Exp 13: R4 - Bet $5, L, Balance $90
[02:21:39] Exp 13: R5 - Bet $5, L, Balance $85
[02:21:48] Exp 13: R6 - Bet $5, W, Balance $95
[02:21:57] Exp 13: R7 - Bet $5, L, Balance $90
[02:22:03] Exp 13: R8 - Bet $10, L, Balance $80
[02:22:15] Exp 13: R9 - Bet $5, L, Balance $75
[02:22:19] Exp 13: R10 - Bet $5, L, Balance $70
[02:22:27] Exp 13: R11 - Bet $5, L, Balance $65
[02:22:38] Exp 14: R1 - Bet $10, W, Balance $120
[02:22:45] Exp 14: R2 - Bet $5, W, Balance $130
[02:22:49] Exp 14: R3 - Bet $10, L, Balance $120
[02:22:56] Exp 14: R4 - Bet $5, L, Balance $115
[02:23:02] Exp 14: R5 - Bet $5, L, Balance $110
[02:23:07] Exp 14: R6 - Bet $5, W, Balance $120
[02:23:12] Exp 14: R7 - Bet $5, L, Balance $115
[02:23:17] Exp 14: R8 - Bet $5, W, Balance $125
[02:23:26] Exp 14: R9 - Bet $5, W, Balance $135
[02:23:32] Exp 14: R10 - Bet $5, L, Balance $130
[02:23:36] Exp 14: R11 - Bet $10, L, Balance $120
[02:23:42] Exp 14: R12 - Bet $5, L, Balance $115
[02:23:47] Exp 14: R13 - Bet $5, L, Balance $110
[02:23:52] Exp 14: R14 - Bet $5, W, Balance $120
[02:23:59] Exp 14: R15 - Bet $5, W, Balance $130
[02:24:06] Exp 14: R16 - Bet $5, W, Balance $140
[02:24:11] Exp 14: R17 - Bet $10, L, Balance $130
[02:24:24] Exp 14: R18 - Bet $5, L, Balance $125
[02:24:32] Exp 14: R19 - Bet $5, W, Balance $135
[02:24:40] Exp 14: R20 - Bet $5, L, Balance $130
[02:24:49] Exp 14: R21 - Bet $5, L, Balance $125
[02:24:55] Exp 14: R22 - Bet $5, L, Balance $120
[02:25:00] Exp 14: R23 - Bet $5, L, Balance $115
[02:25:04] Exp 14: R24 - Bet $5, W, Balance $125
[02:25:18] Exp 14: R25 - Bet $5, W, Balance $135
[02:25:22] Exp 14: R26 - Bet $5, W, Balance $145
[02:25:30] Exp 14: R27 - Bet $5, L, Balance $140
[02:25:37] Exp 14: R28 - Bet $10, L, Balance $130
[02:25:43] Exp 14: R29 - Bet $5, L, Balance $125
[02:25:50] Exp 14: R30 - Bet $5, L, Balance $120
[02:25:59] Exp 15: R1 - Bet $10, L, Balance $90
[02:26:05] Exp 15: R2 - Bet $10, W, Balance $110
[02:26:09] Exp 15: R3 - Bet $10, L, Balance $100
[02:26:15] Exp 15: R4 - Bet $20, L, Balance $80
[02:26:23] Exp 15: R5 - Bet $15, W, Balance $110
[02:26:29] Exp 15: R6 - Bet $20, L, Balance $90
[02:26:38] Exp 15: R7 - Bet $10, L, Balance $80
[02:26:43] Exp 15: R8 - Bet $15, L, Balance $65
[02:26:51] Exp 15: R9 - Bet $10, L, Balance $55
[02:26:55] Exp 15: R10 - Bet $10, W, Balance $75
[02:27:01] Exp 15: R11 - Bet $15, L, Balance $60
[02:27:08] Exp 15: R12 - Bet $20, W, Balance $100
[02:27:14] Exp 15: R13 - Bet $20, W, Balance $140
[02:27:20] Exp 15: R14 - Bet $20, L, Balance $120
[02:27:26] Exp 15: R15 - Bet $20, W, Balance $160
[02:27:35] Exp 15: R16 - Bet $20, L, Balance $140
[02:27:39] Exp 15: R17 - Bet $20, W, Balance $180
[02:27:45] Exp 15: R18 - Bet $20, L, Balance $160
[02:27:54] Exp 15: R19 - Bet $20, W, Balance $200
[02:28:00] Exp 15: R20 - Bet $20, W, Balance $240
[02:28:09] Exp 15: R21 - Bet $30, L, Balance $210
[02:28:14] Exp 15: R22 - Bet $25, L, Balance $185
[02:28:20] Exp 15: R23 - Bet $20, W, Balance $225
[02:28:27] Exp 15: R24 - Bet $20, L, Balance $205
[02:28:32] Exp 15: R25 - Bet $20, L, Balance $185
[02:28:39] Exp 15: R26 - Bet $20, L, Balance $165
[02:28:48] Exp 15: R27 - Bet $20, L, Balance $145
[02:28:54] Exp 15: R28 - Bet $15, W, Balance $175
[02:29:00] Exp 15: R29 - Bet $15, L, Balance $160
[02:29:08] Exp 15: R30 - Bet $20, W, Balance $200
[02:29:14] Exp 15: R31 - Bet $20, W, Balance $240
[02:29:21] Exp 15: R32 - Bet $20, L, Balance $220
[02:29:26] Exp 15: R33 - Bet $30, L, Balance $190
[02:29:30] Exp 15: R34 - Bet $20, W, Balance $230
[02:29:40] Exp 15: R35 - Bet $20, L, Balance $210
[02:29:47] Exp 15: R36 - Bet $20, L, Balance $190
[02:29:55] Exp 15: R37 - Bet $20, L, Balance $170
[02:29:59] Exp 15: R38 - Bet $20, L, Balance $150
[02:30:05] Exp 15: R39 - Bet $10, L, Balance $140
[02:30:10] Exp 15: R40 - Bet $10, L, Balance $130
[02:30:15] Exp 15: R41 - Bet $10, L, Balance $120
[02:30:21] Exp 15: R42 - Bet $10, L, Balance $110
[02:30:27] Exp 15: R43 - Bet $10, L, Balance $100
[02:30:36] Exp 15: R44 - Bet $15, W, Balance $130
[02:30:44] Exp 15: R45 - Bet $15, L, Balance $115
[02:30:46] Exp 15: R46 - Bet $20, L, Balance $95
[02:30:52] Exp 15: R47 - Bet $10, W, Balance $115
[02:30:58] Exp 15: R48 - Bet $10, W, Balance $135
[02:31:05] Exp 15: R49 - Bet $20, L, Balance $115
[02:31:11] Exp 15: R50 - Bet $15, L, Balance $100
[02:31:17] Exp 16: R1 - Bet $20, L, Balance $80
[02:31:23] Exp 16: R2 - Bet $10, W, Balance $100
[02:31:31] Exp 16: R3 - Bet $30, L, Balance $70
[02:31:38] Exp 16: R4 - Bet $20, L, Balance $50
[02:31:47] Exp 16: R5 - Bet $20, L, Balance $30
[02:31:52] Exp 16: R6 - Bet $10, L, Balance $20
[02:32:02] Exp 16: R7 - Bet $10, W, Balance $40
[02:32:06] Exp 16: R8 - Bet $10, L, Balance $30
[02:32:13] Exp 16: R9 - Bet $10, W, Balance $50
[02:32:18] Exp 16: R10 - Bet $10, L, Balance $40
[02:32:26] Exp 16: R11 - Bet $15, L, Balance $25
[02:32:32] Exp 16: R12 - Bet $10, L, Balance $15
[02:32:40] Exp 16: R13 - Bet $5, L, Balance $10
[02:32:47] Exp 16: R14 - Bet $5, W, Balance $20
[02:32:52] Exp 16: R15 - Bet $10, W, Balance $40
[02:32:57] Exp 16: R16 - Bet $10, L, Balance $30
[02:33:04] Exp 16: R17 - Bet $10, W, Balance $50
[02:33:10] Exp 16: R18 - Bet $15, W, Balance $80
[02:33:19] Exp 16: R19 - Bet $15, L, Balance $65
[02:33:23] Exp 16: R20 - Bet $15, L, Balance $50
[02:33:28] Exp 16: R21 - Bet $20, L, Balance $30
[02:33:34] Exp 16: R22 - Bet $10, W, Balance $50
[02:33:41] Exp 16: R23 - Bet $10, L, Balance $40
[02:33:48] Exp 16: R24 - Bet $10, L, Balance $30
[02:33:54] Exp 16: R25 - Bet $10, W, Balance $50
[02:34:00] Exp 16: R26 - Bet $20, W, Balance $90
[02:34:07] Exp 16: R27 - Bet $30, W, Balance $150
[02:34:16] Exp 16: R28 - Bet $20, L, Balance $130
[02:34:21] Exp 16: R29 - Bet $30, W, Balance $190
[02:34:26] Exp 16: R30 - Bet $30, L, Balance $160
[02:34:31] Exp 16: R31 - Bet $20, L, Balance $140
[02:34:36] Exp 16: R32 - Bet $20, L, Balance $120
[02:34:40] Exp 16: R33 - Bet $20, L, Balance $100
[02:34:45] Exp 16: R34 - Bet $20, W, Balance $140
[02:34:50] Exp 16: R35 - Bet $20, W, Balance $180
[02:34:56] Exp 16: R36 - Bet $30, L, Balance $150
[02:35:11] Exp 16: R37 - Bet $20, L, Balance $130
[02:35:18] Exp 16: R38 - Bet $20, L, Balance $110
[02:35:29] Exp 17: R1 - Bet $20, L, Balance $80
[02:35:34] Exp 17: R2 - Bet $20, W, Balance $120
[02:35:40] Exp 17: R3 - Bet $20, L, Balance $100
[02:35:45] Exp 17: R4 - Bet $20, L, Balance $80
[02:35:52] Exp 17: R5 - Bet $20, L, Balance $60
[02:36:02] Exp 17: R6 - Bet $10, L, Balance $50
[02:36:13] Exp 17: R7 - Bet $10, L, Balance $40
[02:36:21] Exp 17: R8 - Bet $10, L, Balance $30
[02:36:26] Exp 17: R9 - Bet $10, L, Balance $20
[02:36:33] Exp 17: R10 - Bet $10, W, Balance $40
[02:36:39] Exp 17: R11 - Bet $10, W, Balance $60
[02:36:47] Exp 17: R12 - Bet $20, L, Balance $40
[02:36:52] Exp 17: R13 - Bet $20, L, Balance $20
[02:36:58] Exp 17: R14 - Bet $10, L, Balance $10
[02:37:03] Exp 17: R15 - Bet $5, L, Balance $5
[02:37:09] Exp 17: R16 - Bet $5, L, Balance $0
[02:37:13] Exp 18: R1 - Bet $5, L, Balance $95
[02:37:17] Exp 18: R2 - Bet $10, L, Balance $85
[02:37:22] Exp 18: R3 - Bet $5, L, Balance $80
[02:37:26] Exp 18: R4 - Bet $5, W, Balance $90
[02:37:34] Exp 18: R5 - Bet $10, L, Balance $80
[02:37:41] Exp 18: R6 - Bet $5, L, Balance $75
[02:37:48] Exp 18: R7 - Bet $5, L, Balance $70
[02:37:53] Exp 18: R8 - Bet $5, W, Balance $80
[02:38:02] Exp 18: R9 - Bet $5, L, Balance $75
[02:38:15] Exp 19: R1 - Bet $20, L, Balance $80
[02:38:20] Exp 19: R2 - Bet $15, W, Balance $110
[02:38:25] Exp 19: R3 - Bet $15, L, Balance $95
[02:38:35] Exp 19: R4 - Bet $15, L, Balance $80
[02:38:41] Exp 19: R5 - Bet $15, L, Balance $65
[02:38:46] Exp 19: R6 - Bet $15, L, Balance $50
[02:39:00] Exp 20: R1 - Bet $20, L, Balance $80
[02:39:04] Exp 20: R2 - Bet $20, W, Balance $120
[02:39:11] Exp 20: R3 - Bet $20, L, Balance $100
[02:39:16] Exp 20: R4 - Bet $20, L, Balance $80
[02:39:21] Exp 20: R5 - Bet $20, L, Balance $60
[02:39:26] Exp 20: R6 - Bet $15, W, Balance $90
[02:39:31] Exp 20: R7 - Bet $20, L, Balance $70
[02:39:36] Exp 20: R8 - Bet $20, W, Balance $110
[02:39:41] Exp 20: R9 - Bet $20, L, Balance $90
[02:39:48] Exp 20: R10 - Bet $20, W, Balance $130
[02:39:51] Exp 20: R11 - Bet $15, L, Balance $115
[02:39:58] Exp 20: R12 - Bet $15, W, Balance $145
[02:40:07] Exp 20: R13 - Bet $20, L, Balance $125
[02:40:17] Exp 20: R14 - Bet $20, L, Balance $105
[02:40:23] Exp 20: R15 - Bet $10, L, Balance $95
[02:40:28] Exp 20: R16 - Bet $15, L, Balance $80
[02:40:35] Exp 20: R17 - Bet $10, L, Balance $70
[02:40:40] Exp 20: R18 - Bet $20, L, Balance $50
[02:40:46] Exp 20: R19 - Bet $15, W, Balance $80
[02:40:54] Exp 20: R20 - Bet $20, W, Balance $120
[02:40:59] Exp 20: R21 - Bet $15, W, Balance $150
[02:41:06] Exp 20: R22 - Bet $20, L, Balance $130
[02:41:12] Exp 20: R23 - Bet $20, W, Balance $170
[02:41:20] Exp 20: R24 - Bet $20, W, Balance $210
[02:41:26] Exp 20: R25 - Bet $20, L, Balance $190
[02:41:34] Exp 20: R26 - Bet $20, L, Balance $170
[02:41:40] Exp 20: R27 - Bet $20, W, Balance $210
[02:41:45] Exp 20: R28 - Bet $20, L, Balance $190
[02:41:53] Exp 20: R29 - Bet $20, L, Balance $170
[02:42:00] Exp 20: R30 - Bet $20, W, Balance $210
[02:42:06] Exp 20: R31 - Bet $15, L, Balance $195
[02:42:15] Exp 20: R32 - Bet $15, W, Balance $225
[02:42:24] Exp 20: R33 - Bet $20, L, Balance $205
[02:42:31] Exp 20: R34 - Bet $15, L, Balance $190
[02:42:38] Exp 20: R35 - Bet $20, L, Balance $170
[02:42:46] Exp 20: R36 - Bet $15, W, Balance $200
[02:42:51] Exp 20: R37 - Bet $20, L, Balance $180
[02:42:58] Exp 20: R38 - Bet $10, L, Balance $170
[02:43:08] Exp 20: R39 - Bet $20, W, Balance $210
[02:43:15] Exp 20: R40 - Bet $20, L, Balance $190
[02:43:23] Exp 20: R41 - Bet $20, L, Balance $170
[02:43:27] Exp 20: R42 - Bet $20, L, Balance $150
